2018-10-23 07:32,大连地铁微博会员特权置顶早安大家要的首末车时间在此奉上二哈二哈如有运营时间变动我们会及时更新这个时间表的也欢迎大家关注大连地铁微信公众号点击菜单栏里的站点查询功能也可以看最新的首末车时间酷酷随着樱花节的到来我们还增加了樱花主题车厢时刻表
2019-01-03 07:27,#气象信息#,大连地铁气象信息月日星期四农历十一月二十八多云相对湿度偏南风转西南风级在经历了冷空气旷日持久的掌控之后今天我市终于迎来了一团暖空气虽然实力一般持续时间也不长但是却会将我市的气温推向近期的一个小波峰偏南到西南风风力不大体感将会变得有一丝展开全文
2019-01-02 19:40,#大连地铁正能量#,大连地铁大连地铁正能量今晚时分地铁号线华南北站一名男乘客突然在站台晕倒站务员发现后立即上报随后站长警察及站务人员赶到站台发现经站务员照顾男乘客已恢复意识其表示自己心脏有问题身上备有药丸已服用随后站务人员拨打急救电话并联系其家属医务人员与家属赶到与工作人员展开全文
2019-01-02 19:28,姑娘跪姿很美作揖作揖作揖作揖作揖作揖作揖作揖
2019-01-02 11:14,#大连爆料#,给力的兵哥哥加油加油
2019-01-02 10:06,#昨日客流#,大连地铁昨日客流万人次
2019-01-02 09:12,大连地铁猜猜一会我们会发布什么笑而不语笑而不语
2019-01-02 07:55,#今日早高峰#,大连地铁今日早高峰今天是节后第一个工作日小伙伴们状态如何呢节日期间大连地铁累计运送乘客万次其中地铁号线总客流量万人次比去年同期增加地铁号线总客流量万人次比去年同期增加地铁号线总客流量万人次比去年同期减少地铁号线总客流量万人展开全文
2019-01-02 07:43,#气象信息#,大连地铁气象信息今天是节后第一个工作日我市仍是以晴为主的天气并且升温的步调将继续保持预计市区最高气温可升到冰点附近最低气温偏北风风力不大天气会觉得缓和了不少只是最近连日的晴冷天气导致空气很干燥大家要注意给身体补水另外室内也可适当增加湿度
2019-01-01 13:08,感谢大连宠爱天下论坛大连宠爱天下论坛把小兴照顾的那么好给你小心心给你小心心有爱猫人士嘛小兴需要一位主人
2019-01-01 13:04,耶耶
2019-01-01 08:57,#今日早高峰#,大连地铁今日早高峰今天是年第一天小伙伴们元旦快乐笑哈哈笑哈哈目前各条线路的客流状况还是比较平稳的现在一号线进出站客流主要集中在大连北站华南广场站二号线红旗西路站和辛寨子站进站乘客较多预计稍后客流还会继续增加截至时分一号线进出站客流人次二号线进出站客流人次由展开全文
2019-01-01 07:56,#气象信息#,大连地铁气象信息今天是新年第一天大连地区多云转晴气温小幅回升但寒冷依旧市区最高气温最低气温小伙伴们外出依然要做好保暖工作而且天干物燥需要注意用火用电安全周三周四冷空气对大连地区的影响趋于结束天气晴朗气温将逐步回归到正常水平届时市区最高气温最低气温展开全文
2019-01-01 00:02,#再见2018#,大连地铁再见来啦干杯干杯干杯干杯小伙伴们新的一年加油加油加油加油加油
2018-12-31 19:50,#你好2019#,帅气的连警馋嘴馋嘴
2018-12-31 18:56,大连地铁感谢小伙伴们的祝福距离年还有个小时啦大家可以去看跨年晚会据说很精彩呦好喜欢好喜欢视频来源东港站张庆宇大连地铁的微博视频大连地铁的微博视频
2018-12-31 13:07,帅
2018-12-31 08:58,#小互动#,大连地铁小互动许个新年愿望吧大连星海湾大连星海湾大连地铁的秒拍视频大连地铁的秒拍视频
2018-12-31 08:30,#今日早高峰#,大连地铁今日早高峰今天是小长假的第二天目前各条线路的客流状况还是比较平稳的首先我们来看一下与高铁北站实现无缝连接的大连北站车站目前大连北站进出站乘客正在陆续增加在此我们也提醒携带大件行李的乘客为了您的乘车安全请选择直梯通行需要乘坐高铁的乘客请从大连北站口出站现在一号线展开全文
2018-12-31 08:07,#气象信息#,大连地铁气象信息今天是年的最后一天啦伴随天空云量的逐步增多我们将在冰冷天气里与旧的一年挥手作别好在风力不太大偏北风到级夜间减弱到到级市区全天气温在之间明天我市天空放晴但我们还将在冰冷天儿中迎接元旦由于冷空气残余势力尚存气温仍低迷市区全天将只有展开全文
2018-12-30 21:25,欢迎来到大连也非常感谢您在私信中对我们大连地铁服务的认可作揖作揖作揖作揖祝年新年快乐给你小心心给你小心心干杯干杯
2018-12-30 11:06,这样一看好像呀这足以说明我们大摩羯跟朱重八可能沾亲带故思考思考
2018-12-30 10:52,大连地铁求偶遇偷乐偷乐
2018-12-30 10:33,作揖作揖作揖作揖还希望能喜欢
2018-12-30 07:11,#气象信息#,这个天儿呀还是有点冷呐小长假第一天快乐可爱可爱
2018-12-29 20:07,#城市V聚力#,美美滴表演笑而不语笑而不语大连户口身份证大连户口身份证星海灯光秀围观围观
2018-12-29 19:34,#大连身边事#,回复我比你更想抓到这个此处省去大连话一句回复大连地铁大连地铁你都说了多少次了解决好半个月了吧
2018-12-29 18:36,感谢对我们工作人员的认可挺多人都会在下班后帮同事维持会儿秩序为他们点赞赞赞
2018-12-29 15:45,大连地铁向坚守一线的同事们致敬作揖作揖作揖作揖作揖作揖也提前祝大家新年快乐心心心心心心哈哈哈哈哈哈哈哈大连大连湾街区大连大连湾街区大连地铁的秒拍视频大连地铁的秒拍视频
2018-12-29 15:20,大连地铁地铁宝宝版的需要仔细听允悲允悲允悲允悲允悲允悲允悲允悲大连地铁的秒拍视频大连地铁的秒拍视频
2018-12-29 15:04,蹭一波公众号热度太开心太开心
2018-12-29 14:49,大连地铁帅不帅喵喵喵喵大连地铁的秒拍视频大连地铁的秒拍视频
2018-12-29 14:44,大连地铁这样的小哥哥大家喜欢不憧憬憧憬大连地铁的秒拍视频大连地铁的秒拍视频
2018-12-29 14:26,大连地铁请大家欣赏梦回敦煌偷乐偷乐由于小编要专心欣赏所以录了一部分大连地铁的秒拍视频大连地铁的秒拍视频
2018-12-29 14:17,#不负年华，筑梦地铁#,大连地铁不负年华筑梦地铁迎新文艺汇演开始啦精彩的表演让小编眼花缭乱憧憬憧憬尤其是开幕表演特别赞赞赞赞赞
2018-12-29 08:51,有点甜岁妻子责骂岁老公再出去不要跟我在一起了二哈二哈希望岁也能有一个人这样哈呼我
2018-12-29 07:44,#书香地铁#,大连地铁书香地铁听筝唐柳中庸抽弦促柱听秦筝无限秦人悲怨声似逐春风知柳态如随啼鸟识花情谁家独夜愁灯影何处空楼思月明更入几重离别恨江南歧路洛阳城雪候鸟雪候鸟感谢李大爷诗歌鉴赏推荐作揖作揖作揖作揖作揖作揖
2018-12-29 07:43,#今日天气#,奉上今日天气作揖作揖
2018-12-28 18:31,大连地铁今天小编很伤感不仅仅是因为新商报休刊也因为新商报里跑地铁线的记者也会随之离开这里面就有一位大连地铁的老朋友毕重伟我们都愿意尊敬地叫他毕老师再见新商报回见毕老师再见新商报回见毕老师行游大连行游大连大连发布大连发布
2018-12-28 13:39,大连地铁考验眼力的时候到了女生不够男生穿裙充数允悲允悲近日大连海事大学合唱团的一段表演火了因女生太少男生不得不穿上裙子在台上帮唱引爆笑合唱团指导老师称这是一场新年合唱音乐会想增添一些喜庆气氛才这样设计澎湃新闻澎湃新闻的秒拍视频澎湃新闻的秒拍视频
2018-12-28 10:21,胖嘟嘟的快乐小窝地铁的粉丝是不是纯纯的铁粉儿昨天那么冷的天这个小朋友就是要坐地铁理由很简单我都想地铁了想地铁想得我们都拦不住允悲允悲允悲允悲大连地铁大连地铁
2018-12-28 10:47,小伙儿家里有矿吗包车啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2018-12-28 10:10,大连地铁据现场地铁迷情报票卡非常火爆欲购从速哟小毅小毅
2018-12-28 07:57,大连地铁大连地铁一日票三日票定于今日早点整于大连地铁号线各车站限量发售本次大连地铁一日票三日票共计四种票样共计限量发行张简装版成册限量发售套精装版成册限量发售套单张限量发售张一日票张三日票张乘客可成册购买也可单张购买简装版纪念册内展开全文
2018-12-28 07:49,#今日早高峰#,大连地铁今日早高峰目前各条线路整体客流状况平稳地铁一号线的华南广场站千山路站以及香工街站的乘客相对较多客流出行方向主要集中在大连北站去往西安路站区间地铁二号线的客流压力主要集中在虹锦路站至中山广场站区间红旗西路站马栏广场站的乘客相对较多截至时分一号线进出站客流展开全文
2018-12-28 07:40,#气象信息#,大连地铁气象信息今天大连天气晴在冷空气的持续影响下气温方面难有大的起色市区最高气温最低气温陆地偏北风到级转西北风到级风寒效应明显外出要穿的厚实一些周六天气晴气温变化不大市区全天气温在元旦小长假的前两天日日天气继续走晴冷路线风展开全文
2018-12-27 22:07,#再见2018#,有小编就是作揖作揖
2018-12-27 17:28,大连地铁老编今天给任务粉丝增长到一万八马上下班了小编任务还没完成该怎么办泪泪泪泪泪泪
2018-12-27 14:36,大连地铁活动结束啦以下小伙伴获得我们的精美台历一份请等待小编私信偷乐偷乐
2018-12-27 11:46,#大连爆料#,大哥的身体素质和我们老编有一拼啊加油加油加油加油加油加油也说明我们的温度还是很舒适的喵喵喵喵喵喵喵喵喵喵喵喵
2018-12-27 10:38,大连地铁算上今天还有五天就要迎来年啦笑哈哈笑哈哈同时我们的粉丝马上也要突破一万八了允悲允悲我们坚持粉丝少不可怕就怕粉丝不说话所以坚决不买粉一心培养真爱粉为粉丝解决问题为粉丝谋福利小心心今天又为新老粉丝谋福利啦我们准备了精美台历三十份作为礼物赠给大家在此感谢银联小伙伴为我们展开全文
2018-12-08 23:25,柠檬泡在线向你发送一个大连东方威尼斯水城大连东方威尼斯水城
2018-12-27 08:07,#书香地铁#,大连地铁书香地铁为了使你听见我我的话语有时细得如同沙滩上海鸥的足迹项链醉酒的铃铛展开全文
2018-12-27 07:44,#今日早高峰#,大连地铁今日早高峰目前各条线路的客流明显增多但整体状况还是比较平稳的地铁一号线主要的客流方向集中在大连北站去往会展中心站方向都是以进站为主地铁二号线客流压力集中在红旗西路站至中山广场站区间也是以进站乘客为主截至时分一号线进出站客流人次二号线进出站客流人次展开全文
2018-12-27 07:39,#气象信息#,大连地铁气象信息今天我市上空云彩聚集白天大连旅顺及金普新区部分地区将有小阵雪少了阳光的资助天气不仅丝毫没有回暖的迹象相反在冷空气的操纵下继续吹刮起到级阵风级的偏北风气温进一步受创市区全天跌入的谷底周五周六我市天空将再度放晴起来不过气温依旧低迷展开全文
2018-12-26 17:34,大连地铁过了今天距离年就还差天啦跟大家分享一下来自东港地铁站乘客们的小愿望羞嗒嗒羞嗒嗒祝大家都能够心想事成
2018-12-26 15:31,#大连爆料#,这样子既不雅观不卫生还很不安全一不留神就可能摔在地上如有乘客遇到类似情况希望下车时跟我们的工作人员说一声为了车厢内的秩序也为了乘客的安全作揖作揖作揖作揖
2018-12-26 11:04,大连地铁对比了两年的客流量感觉明年的平安夜客流量就会超越圣诞节的客流量偷乐偷乐不知今年小伙伴们在这两天都干嘛啦圣诞老人圣诞老人
2018-12-26 07:48,#今日早高峰#,大连地铁今日早高峰目前各条线路的客流状况还是比较平稳的地铁一号线客流出行方向主要集中在大连北站至河口站区间今天早间华南广场学院广场站东纬路站的乘客相对较多地铁二号线客流压力主要集中在虹锦路站至港湾广场站的区间截至时分一号线进出站客流人次二号线进出站客流人展开全文
2018-12-26 07:39,#气象信息#,就是一个字儿太冷啦
2018-12-25 13:21,大连地铁还有六天就到年啦来东港站写下新年心愿吧好喜欢好喜欢礼物礼物赞啊赞啊大连地铁的秒拍视频大连地铁的秒拍视频
2018-12-25 10:55,#维修通报#,回复熊熊维修通报因设备维修保养施工地铁号线中长街站至香工街站段行车速度放缓晚点大概一分钟对全线无影响施工大概还将持续两周左右请各位小伙伴提早安排行程以免误事非常抱歉给大家带来的不便敬请谅解有最新消息我们会第一时间发布作揖作揖作揖作揖作揖作揖
2018-12-25 09:51,大连地铁有没有坐地铁捡到的小伙伴呀麻烦联系作揖作揖作揖作揖
2018-12-25 08:37,#维修通报#,维修通报因内部维修故车速放慢敬请各位小伙伴体谅理解圣诞快乐作揖作揖作揖作揖作揖作揖
2018-12-25 07:54,#今日早高峰#,大连地铁今日早高峰目前各条线路的客流状况还是比较平稳的地铁一号线出行客流主要集中在大连北站去往西安站方向以及河口站去往西安路站的方向所以换乘站西安路站相对来说客流会比较密集地铁二号线从虹港路站开始一直到会议中心这一区间上车的乘客较为密集在西安路可能会缓解一部分客流压力截展开全文
2018-12-25 07:30,#气象信息#,大连地铁气象信息目前一股更强劲的冷空气正在赶来的途中预计今天滨城阳光还不错市区最高气温在左右不过到了下午气温会开始下降北风逐渐增大夜间随着强冷空气主体抵达气温也将大跳水预计市区最低气温将降到附近所以周三早上出门大家一定要多穿啊预计我市未来几天的气温将持续偏低展开全文
2018-12-24 20:00,#城市V聚力#,大连突发储值卡余额高于元便可乘坐大连地铁大连地铁出行城市聚力大连爆料
2018-12-24 18:04,大连地铁储值卡余额高于元便可乘坐地铁出行此前按照相关规定大连地铁轨道交通全程票价为元持有明珠卡市民进站可享受八折优惠折后全程票价为元在卡内余额不足元时不能进站这一方法是之前参照其他城市定的现在已经有更先进的方法了所以我们决定有所改变而按照新规定持储展开全文
2018-12-24 15:18,#城市V聚力#,滚刀肉啊顶顶顶顶顶顶顶顶
2018-12-24 14:39,#小互动#,大连地铁小互动一会儿我要发布一个好消息大家猜猜看猜中送争做文明大连人绿色出行我代言纪念票卡哈
2018-12-24 13:28,#大连生活#,特别不错的地方下周末不太冷打算去溜达微风微风大连同城大连同城大连生活冬天去人少偷笑偷笑
2018-12-24 11:23,大连地铁重要消息哈麻烦中奖的私信一下小编咱们商量一下具体领卡事宜嘻嘻嘻嘻作揖作揖
2018-12-24 11:05,#大连地铁正能量#,大连地铁大连地铁正能量事发大连地铁号线马栏广场站暖心一幕一位老爷爷刚上地铁当兵的男生就立马站起来让座于是周围乘客立马又串出了一个座位让两个人都坐下为这些乘客点赞赞赞赞赞赞赞有时候其实是有座位的只是因为某些乘客不文明的行为比如大劈叉坐姿用包占座等行为才使得原本的座位展开全文
2018-12-10 21:10,王王小丑陌生的城市大连河口大连河口
2018-12-24 07:49,#今日早高峰#,大连地铁今日早高峰目前各条线路的客流状况还是比较平稳的地铁一号线客流压力集中在华南广场至七贤岭站的区间另外大连北站目前进站的乘客也是比较多地铁二号线红旗西路至交通大学站的区间乘客比较集中西安路站换乘的客流比较密集集中在一号线去往姚家方向二号线去往海之韵的方向截至时分展开全文
2018-12-24 07:36,#气象信息#,大连地铁气象信息伴随冬至节气的到来数九寒天正式开始我们进入到了一年中最冷的时段为了应景数九的开始昨天冷空气及时到货全市白天的气温均被打压到了零度以下今天这股冷空气对我市的影响趋于结束气温小幅回升今明两天市区最高均能保持在上下但是毕竟我们已进入到了号称一年展开全文
2018-12-23 19:12,#地铁站务员阿姨会8门外语#,年开始小编打算开启学英语模式看完这段视频惭愧呀泪泪泪泪泪泪
2018-12-23 11:42,感谢好心人小奶狗有福气了
2018-12-23 09:40,#小互动#,小互动
2018-12-23 09:39,#地铁吃小龙虾吐壳男子被拘#,大连地铁我推荐了小达人看热点小达人看热点提出的问题地铁吃小龙虾吐壳男子被拘若遇有人地铁上吃东西你会怎么办地铁吃小龙虾吐壳男子被拘日网曝北京地铁号线内有一男子吃起了小龙虾还将虾已有噩梦这才真正来临噩梦这才真正来临陈陈等人回答等你围观更多内容欢迎锁定微博问答微博问答展开全文
2018-12-23 07:56,#气象信息#,大连地铁气象信息冬至节气的到来拉开了数九寒天序幕冷空气受邀再度出山今天我市天气晴间多云偏北阵风可达到级市区最高气温回落到最低气温在左右下周一周二我市天空云量将有所增多市区最高气温回升至只可惜好景不长随着一股寒意更强的冷空气杀到下周三我市将跌展开全文
2018-12-22 21:01,感谢大安君帮忙科普作揖作揖作揖作揖作揖作揖大连公安大连公安话筒话筒地铁应急装置多非紧急情况勿乱动
2018-12-22 20:53,#书香地铁#,大连地铁书香地铁凛冬将尽与君诗一首盼春归春思李白燕草如碧丝秦桑低绿枝当君怀归日是妾断肠时春风不相识何事入罗帏
2018-12-22 20:31,#城市V聚力#,请大连公安大连公安阅夏至夕陽夏至夕陽是他是他就是他前几天在医大一院像我要钱来着二维码微信支付宝全有大连地铁大连地铁都是假的请无视我们的工作人员天天都在清这些人还希望广大乘客配合不要相信没有任何人支持他们自然就放弃了作揖作揖作揖作揖
2018-12-22 20:30,#老太乞讨被劝反诬小伙打人#,已阅请大连公安大连公安阅小野小野头疼抄送大连地铁大连地铁
2018-12-22 16:42,#城市V聚力#,都是假的请无视我们的工作人员天天都在清这些人还希望广大乘客配合不要相信没有任何人支持他们自然就放弃了作揖作揖作揖作揖
2018-12-22 15:22,#城市V聚力#,我们敬业的运营美女工作人员提醒我那个门叫端门允悲允悲允悲允悲大连地铁大连地铁经调查是门出现故障目前已修好谢谢大家大连地铁大连地铁正在查原因稍候公布作揖作揖作揖作揖作揖作揖
2018-12-22 15:09,#城市V聚力#,经调查是门出现故障目前已修好谢谢大家大连地铁大连地铁正在查原因稍候公布作揖作揖作揖作揖作揖作揖
2018-12-22 13:23,#minimetro#,哈哈画的不错为什么号线要往上拐一下呀
2018-12-22 12:02,#车厢禁止乞讨扫码#,车厢禁止乞讨扫码丑恶乃魔鬼面目可怕无论何人见均要痛恨可常见常睹便习以为常见怪不怪先对它容忍继对之怜悯终至于拥抱蒲柏
2018-12-22 11:41,#城市V聚力#,回复庄修岩庄修岩哪有什么岁月静好不过是有人替你负重前行罢了庄修岩庄修岩这个地铁微博接地气回复快很难得老编是有专门的办公室办公桌刷手机吗污污偷笑偷笑挤眼挤眼挤眼挤眼大连地铁大连地铁正在查原因稍候公布作揖作揖作揖作揖作揖作揖
2018-12-22 11:06,#城市V聚力#,正在查原因稍候公布作揖作揖作揖作揖作揖作揖
2018-12-22 06:48,#气象信息#,大连地铁气象信息今天是二十四节气中的冬至太阳直射南回归线北半球白昼最短黑夜最长从冬至开始白天会一点点变长所以民谚说吃了冬至饭一天长一线同时数九寒天也从这一天开始了一年中最冷的时段就此拉开序幕今天我市的天气虽说没有冬至节气该有的寒冷氛围但是新一股冷展开全文
2018-12-21 16:34,不需要告见贤思齐静候佳音拥抱即逝去拥抱即逝去我觉得该去告一下大连地铁了大连地铁大连地铁然后下面就没了然后下面就没了精神病院门没关好我跑出来了精神病院门没关好我跑出来了江南大野花江南大野花感谢您的较真没钱娶不了布鲁斯没钱娶不了布鲁斯吸猫被炸小锅脐儿吸猫被炸小锅脐儿社会进步全靠这些较真的人默默努力
2018-12-21 15:16,#大连身边事#,感谢果断查收作揖作揖霸座本身就是禁止的霸座骂人还威胁别人真的很过分在此提醒广大乘客遇到类似情况先保护好自己如果受到人身攻击请在到站第一时间联系我们的工作人员我们会护您周全加油加油具体如何解决这类人我们想办法作揖作揖作揖作揖
2018-12-21 14:35,感谢亲对我们服务的认可都是应该做的给你小心心给你小心心给你小心心给你小心心也希望小伙伴们遇到问题随时私信我们或者拨打找我们的客服握手握手握手握手
2018-12-21 07:45,#今日早高峰#,大连地铁今日早高峰当前时段大连地铁各条线路的出行客流都在持续增长中号线的大连北站松江路华南广场海事大学站号线的红旗西路虹锦路辛寨子以及友好广场站进站客流都有明显增多地铁号线客流出行方向主要集在大连北站到七贤岭站区间早间西安路站的出行客流相对其他车站来说还是比较展开全文
2018-12-21 06:01,#今日天气#,大连地铁今日天气今日小雨转晴西北风级天气较冷建议搭配厚衣服出门请注意安全路面湿滑不要摔倒呦偷乐偷乐因为天气缘故可能塞车所以建议选择地铁出行今天是周五小伙伴们再努力一天就迎来双休日啦加油给你小心心给你小心心
2018-12-20 17:21,大连地铁今天让我们再次唱起这首歌心心你可知不是我真姓我离开你太久了母亲但是他们掠去的是我的肉体你仍然保管我内心的灵魂那三百年来梦寐不忘的生母啊谁叫儿的乳名叫我一声澳门今天澳门回归周年一起聆听动人的童声重温为澳门而唱为中国转发人民日报的秒拍视频人民日报的秒拍视频
2018-12-20 16:50,祝福澳门祝福祖国心心
2018-12-20 16:28,大连地铁给大家欣赏一下小朋友们自己动手做的车模五花八门哈哈哈哈哈哈哈哈哈哈哈哈
2018-12-20 11:37,#文明乘车有奖晒图#,大连地铁文明乘车有奖晒图简易版中奖名单出来啦小编打算最近开始发纪念卡小伙伴们看看还落了谁没如果有请私信哈
2018-12-20 10:06,#成都身边事#,特别帅作为三国迷内心非常之激动
2018-12-20 09:12,#大连地铁正能量#,大连地铁大连地铁正能量今早时左右在友好广场站客服中心处一名多岁的阿姨说自己与老伴走散此时站务人员对讲告知站长和警察经过了解阿姨没有携带电话也记不清家人电话站长耐心询问得知阿姨与老伴在胜利地下走散于是站长和驻站民警陪同阿姨来到胜利地下通道经过多方打听最终在前往火展开全文
2018-12-20 08:37,#大连身边事#,我们会加大宣传力度同时我们的保洁工作人员也会上车进行清理的在此提醒大家车厢内禁止吃东西更不让随地扔垃圾每一站都有很多垃圾桶维护公共环境舒服别人也舒服自己感谢大连成大连成感谢爆料人与我们一同关注车厢内卫生环境作揖作揖作揖作揖
2018-12-20 07:56,#今日早高峰#,大连地铁今日早高峰目前两条线路的客流整体状况还是比较平稳的地铁一号线客流主要集中在华南广场站至西安路站区间会展中心站至河口站区间从华北路站开始去往河口方向的乘客就有明显增加二号线虹锦路站红旗西路站台候车乘客相对较多客流出行方向主要集中在新寨子车站至中山广场区间截至时分展开全文
2018-12-20 07:36,#早安#,大连地铁早安今天白天大连地区晴间多云气温变化不大市区最高气温空气质量还是不错的大家可以趁着不冷的时候多到户外走走预计半夜起雨雪将光顾滨城周五天气阴转多云气温方面保持稳定市区最高气温最低气温双休日多云转晴不过新一股冷空气即将抵达届时气温将开启下坡路预展开全文
2018-12-19 15:37,大连地铁这种行为不光乘客看着心中不痛快我们也表示很不理解人少也不应该躺着呀挖鼻挖鼻感谢乘客发现这种不文明行为下一步我们会在广播内大力宣传禁止这种不文明的行为的作揖作揖作揖作揖
2018-12-19 13:24,#24小时平凡大连人#,小时平凡大连人一切都是为了这座城市加油加油
2018-12-19 12:36,#大连爆料#,回复一只猫一只猫我们失职笑笑但是相信绝不会因为一张桌子影响该名同学的学习斗志只会越学越好越学越牛加油加油加油加油地铁开过光在地铁努力学习的同学都会金榜题名不负青春的哈哈哈哈一只猫一只猫地铁欠他一张桌子
2018-12-19 10:22,大连地铁那只改变中国人对导盲犬认知的珍妮退役了抱抱抱抱近日中国第只导盲犬珍妮退役前引导陪伴了年的陈燕坐火车前往大连最后一次为她导盲因为珍妮导盲犬可以进入地铁年被写进北京市轨道交通运营安全条例按照国际惯例导盲犬退役后将跟随寄养家庭生活辛苦了珍妮展开全文
2018-12-19 09:38,#书香地铁#,大连地铁书香地铁特别开心能在地铁上看到这种场景年长的乘客跟小乘客都愿意在坐地铁的时候看看书同时也感谢细心的乘客愿意抽出几秒钟来记录下这一时刻大鲨鱼大鲨鱼作揖作揖作揖作揖
2018-12-19 07:56,#今日早高峰#,大连地铁今日早高峰目前两条线路的客流较早间相比都有明显增多但整体状况还是比较平稳的地铁一号线主要的客流方向集中在大连北站去往七贤岭站方向这一时间点春柳站千山路站的乘客相对比较集中都是以进站乘客为主二号线目前的客流压力集中在虹锦路至港湾广场区间西安路站换乘的乘客还是比较展开全文
2018-12-18 19:55,这是病了吗周围的好心人给打个吧
2018-12-18 19:09,#小互动#,大连地铁小互动原来以为喷泉是喷水的等了一曲终了才发现好像不会喷水泪泪老编老矣尚能玩否二哈二哈二哈二哈大连地铁的秒拍视频大连地铁的秒拍视频
2018-12-18 14:51,大连地铁交大站副班李佳琦巡车途中在车箱内发现一男一女两名推销人员第一时间联系中队长及辽师站负责人车辆到达辽师站后清理乘客出站地铁禁止乞讨扫码行为希望乘客们不要搭理这些人如果遇到请在到站下车时及时联系我们的工作人员谢谢
2018-12-18 10:53,#致敬40年#,大连地铁致敬年改革开放永不停步大连地铁风雨无阻加油加油加油加油加油加油
2018-12-18 07:49,#今日早高峰#,大连地铁今日早高峰今晨两条线路客流比较平稳地铁一号线各个车站的进站乘客正在陆续增多学苑广场站华南广场站进站乘客比较集中二号线乘客出行方向主要集中在红旗西路去往友好广场区间换乘站西安路站客流主要集中在号线去往河口方向以及号线去往海之韵方向的站台上截至时分一号线进出站展开全文
2018-12-17 19:50,#文明大连看地铁#,赞赞赞赞赞赞棒棒哒果断赠卡偷乐偷乐
2018-12-17 19:49,#冒个泡#,大连地铁冒个泡小伙伴们过来看灯没的偷乐偷乐大连星海广场大连星海广场
2018-12-17 15:13,大连地铁感谢您对大连地铁的关注与支持暂时我们还没接到地铁号线运营时间调整变化的通知如果有相关信息我们会第一时间发布年春节开发区轻轨运营时间有变化吗年春节开发区轻轨运营时间有变化吗
2018-12-17 14:34,#书香地铁#,大连地铁书香地铁你整个身体有一种注定为我而成的丰满或温柔聂鲁达陶工
2018-12-17 09:29,#大连地铁正能量#,大连地铁大连地铁正能量华南北站早上点分一名女乘客因身体不适低血糖在站台摔倒工作人员发现后及时进行安抚并送上热糖水饼干等乘客稍坐休息感觉身体无碍自行离开车站已和出站方联系关注此乘客华南北站小伙伴把乘客照顾得很好乘客很满意在此温馨提示晚上早早休息第二天早早起床吃一顿展开全文
2018-12-17 09:01,想看星海音乐喷泉灯光秀的可以关注一下
2018-12-17 08:27,#今日早高峰#,大连地铁今日早高峰今晨两条线路客流比较平稳地铁一号线客流乘客的出行方向主要集中在松江路站到学苑广场站区间二号线乘客出行方向主要集中在虹港路站至中山广场站区间港湾广场站到人民广场站区间截至时分一号线进出站客流人次二号线进出站客流人次争做文明大连人绿色出行我代展开全文
2018-12-17 07:43,#气象信息#,大连地铁气象信息今天我市还是个晴天西北风到级转偏西风到级气温与昨天相比变化不大市区最高气温在夜间最低在附近天气虽然暖和可弱西北平流不但不会对聚集我市的空气污染物进行有效疏散反而还会将上游地区的污染物输送过来因此空气质量难以得到改善建议敏感人群外出时注意戴好展开全文
2018-12-16 20:14,大连地铁年月日早点左右乘客在乘坐地铁的过程中由于没吃早饭导致低血糖眩晕富国街站的工作人员发现后及时为乘客搬来椅子让乘客休息拿来红糖水和零食缓解乘客的不适期间工作人员一直照顾乘客直到好转今日晚间乘客送来一面锦旗感谢地铁工作人员热情周到的服务并对我们的服务表示肯定赞赞展开全文
2018-12-16 20:00,#书香地铁#,大连地铁书香地铁养成读书的习惯就给你自己建造了一座逃避人生几乎所有不幸的避难所毛姆老编点评老编能活到现在全靠毛姆撑着毛姆在小说中的骂人水准个人觉得远超鲁迅先生
2018-12-16 15:19,#大连爆料#,阿姨这么做实在不该车厢内吐痰是不允许的也是不道德的车厢内的环境是大家共同享有的在吐痰的同时不仅破坏别人的乘车环境也在破坏自己的乘车环境不划算呀顶顶顶顶顶顶大家还请放心地铁的保洁叔叔阿姨们会及时清理的作揖作揖作揖作揖
2018-12-16 10:02,#改革开放40周年#,大连地铁改革开放周年震撼秒年中国人就是这样干出来的秒浓缩年这是动态演进也是历史趋势中国加油心心人民日报的秒拍视频人民日报的秒拍视频
2018-12-16 09:58,大连地铁行李确实好多呀但是那也不能占别人的座位这种行为非常的不文明思考思考
2018-12-15 18:58,关注健康问题从现在开始小编的颈椎特别不好也希望小伙伴们平时多做运动加油加油恭喜窝窝奶糖窝窝奶糖得到我们的纪念票作揖作揖
2018-12-15 15:22,#大连身边事#,立即清理顶顶大连同城大连同城大连身边事大连地铁大连地铁这有一个待清理
2018-12-15 08:26,大连地铁早安今天受新来访的高空槽云系影响本市天气晴转多云夜间部分地区有小雨夹雪西南风到级阵风级转偏西风到级市区全天可回升到之间天儿给人们的感觉将明显温暖不少明天天空将放晴偏西风到级转西北风到级全天气温在之间市气象台月日时发布
2018-12-15 08:24,相信小狐狸一定可以把小恐龙重新织好的泪泪
2018-12-14 21:55,大连地铁明儿周末小伙伴们想不想看电影呀比如龙猫
2018-12-14 20:19,#大连头条#,看流星啦
2018-12-14 13:59,#文明乘车有奖晒图#,文明乘车有奖晒图执法权地铁的痛泪泪
2018-12-14 12:30,#书香地铁#,大连地铁书香地铁我爱你但不把你当成玫瑰或黄宝石或火光四射的康乃馨之箭我爱你像爱恋某些阴暗的事物秘密地介于阴影与灵魂之间聂鲁达
